#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = ????
lava                                              (minecraft:lava)                                                                 = ????
iron                                              (tconstruct:molten_iron)                                                         = ????????????? ??????
gold                                              (tconstruct:molten_gold)                                                         = ????????????? ??????
pigiron                                           (tconstruct:molten_pigiron)                                                      = ????????????? ??????????
cobalt                                            (tconstruct:molten_cobalt)                                                       = ????????????? ???????
ardite                                            (tconstruct:molten_ardite)                                                       = ????????????? ?????
manyullyn                                         (tconstruct:molten_manyullyn)                                                    = ????????????? ????????
knightslime                                       (tconstruct:molten_knightslime)                                                  = ????????????? ??????????
alubrass                                          (tconstruct:molten_alubrass)                                                     = ?????? ??????????? ??????
brass                                             (tconstruct:molten_brass)                                                        = ?????? ??????
copper                                            (tconstruct:molten_copper)                                                       = ?????? ????
tin                                               (tconstruct:molten_tin)                                                          = ?????? ?????
bronze                                            (tconstruct:molten_bronze)                                                       = ?????? ??????
zinc                                              (tconstruct:molten_zinc)                                                         = ?????? ????
lead                                              (tconstruct:molten_lead)                                                         = ?????? ??????
nickel                                            (tconstruct:molten_nickel)                                                       = ?????? ??????
silver                                            (tconstruct:molten_silver)                                                       = ?????? ???????
electrum                                          (tconstruct:molten_electrum)                                                     = ?????? ????????
steel                                             (tconstruct:molten_steel)                                                        = ????????????? ?????
aluminum                                          (tconstruct:molten_aluminum)                                                     = ?????? ????????
liquidhydrogen                                    ([no block])                                                                     = ?????? ???????
liquidoxygen                                      ([no block])                                                                     = ?????? ????????
liquidchlorine                                    ([no block])                                                                     = ?????? ????
liquidsulfurdioxide                               ([no block])                                                                     = ?????? ??????? ????
liquidsulfurtrioxide                              ([no block])                                                                     = ?????? ???????? ????
sulfuricacid                                      ([no block])                                                                     = ?????? ???????
liquidhydrogenchloride                            ([no block])                                                                     = ?????? ????????????
liquidethene                                      ([no block])                                                                     = ?????? ??????
liquidsodium                                      ([no block])                                                                     = ?????? ??????
brine                                             ([no block])                                                                     = ??????
liquiddeuterium                                   ([no block])                                                                     = ?????? ????????
liquidtritium                                     ([no block])                                                                     = ?????? ??????
liquidfusionfuel                                  ([no block])                                                                     = ?????? ?-? ???????
liquidlithium                                     ([no block])                                                                     = ?????? ?????
heavywater                                        ([no block])                                                                     = ??????? ????
steam                                             (advgenerators:steam)                                                            = ???
liquidcoralium                                    (abyssalcraft:cwater)                                                            = ?????? ??????
liquidantimatter                                  (abyssalcraft:antiwater)                                                         = ?????? ????????????
creosote                                          (railcraft:creosote)                                                             = ???????
coal                                              ([no block])                                                                     = ??????????? ?????
crude_oil                                         (thermalfoundation:fluid_crude_oil)                                              = ????? ?????
refined_oil                                       ([no block])                                                                     = ?????
refined_fuel                                      ([no block])                                                                     = ????????? ???????
sap                                               ([no block])                                                                     = ???
syrup                                             ([no block])                                                                     = ?????
resin                                             ([no block])                                                                     = ?????
tree_oil                                          ([no block])                                                                     = ????????? ?????
seed_oil                                          ([no block])                                                                     = ???????????? ?????
biocrude                                          ([no block])                                                                     = ????????
refined_biofuel                                   ([no block])                                                                     = ??????????
mushroom_stew                                     ([no block])                                                                     = ??????? ?????
experience                                        ([no block])                                                                     = ???????? ??????
potion                                            ([no block])                                                                     = ?????
potion_splash                                     ([no block])                                                                     = ???????? ?????
potion_lingering                                  ([no block])                                                                     = ???????? ?????
redstone                                          (thermalfoundation:fluid_redstone)                                               = ??????????????????? ??????? ??????
glowstone                                         (thermalfoundation:fluid_glowstone)                                              = ?????????? ?????????? ??????
ender                                             (thermalfoundation:fluid_ender)                                                  = ???????????? ????????
pyrotheum                                         (thermalfoundation:fluid_pyrotheum)                                              = ???????? ????????
cryotheum                                         (thermalfoundation:fluid_cryotheum)                                              = ??????? ????????
aerotheum                                         (thermalfoundation:fluid_aerotheum)                                              = ????????? ????????
petrotheum                                        (thermalfoundation:fluid_petrotheum)                                             = ????????????? ?????????
mana                                              (thermalfoundation:fluid_mana)                                                   = ??????????? ????
platinum                                          (tconstruct:molten_platinum)                                                     = ????????????? ???????
iridium                                           (tconstruct:molten_iridium)                                                      = ????????????? ??????
invar                                             (tconstruct:molten_invar)                                                        = ????????????? ?????
constantan                                        (immersiveengineering:molten_constantan)                                         = ????????????? ??????????
signalum                                          (tconstruct:molten_signalum)                                                     = ????????????? ?????
lumium                                            (tconstruct:molten_lumium)                                                       = ????????????? ??????
enderium                                          (tconstruct:molten_enderium)                                                     = ????????????? ????????
electrical_steel                                  (enderio:block_fluid_electrical_steel)                                           = ????????????? ????????????????? ?????
energetic_alloy                                   (enderio:block_fluid_energetic_alloy)                                            = ????????????? ?????????????? ?????
vibrant_alloy                                     (enderio:block_fluid_vibrant_alloy)                                              = ????????????? ??????????? ?????
redstone_alloy                                    (enderio:block_fluid_redstone_alloy)                                             = ????????????? ????? ?? ???????? ?????
conductive_iron                                   (enderio:block_fluid_conductive_iron)                                            = ????????????? ?????????? ??????
pulsating_iron                                    (enderio:block_fluid_pulsating_iron)                                             = ????????????? ???????????? ??????
dark_steel                                        (enderio:block_fluid_dark_steel)                                                 = ????????????? ?????? ?????
soularium                                         (enderio:block_fluid_soularium)                                                  = ????????????? ????????
end_steel                                         (enderio:block_fluid_end_steel)                                                  = ????????????? ????? ????
construction_alloy                                (enderio:block_fluid_construction_alloy)                                         = Molten Iron Alloy
fierymetal                                        (twilightforest:molten_fierymetal)                                               = ????????????? ?????
knightmetal                                       (twilightforest:molten_knightmetal)                                              = ????????????? ??????????? ??????
fiery_essence                                     (twilightforest:fiery_essence)                                                   = ???????? ????????
moltenabyssalnite                                 (acintegration:moltenabyssalnite)                                                = ????????????? ???????????
moltenrefinedcoralium                             (acintegration:moltencoralium)                                                   = ????????????? ???????????? ???????
moltendreadium                                    (acintegration:moltendreadium)                                                   = ????????????? ?????????
canolaoil                                         (actuallyadditions:block_canola_oil)                                             = ????? ??????
refinedcanolaoil                                  (actuallyadditions:block_refined_canola_oil)                                     = ?????????????? ????? ??????
crystaloil                                        (actuallyadditions:block_crystal_oil)                                            = ?????????????????? ?????
empoweredoil                                      (actuallyadditions:block_empowered_oil)                                          = ??????????? ?????
poison                                            (cyclicmagic:poison)                                                             = ??
amber                                             (cyclicmagic:amber)                                                              = ??????
biomass                                           (cyclicmagic:biomass)                                                            = ????????
crystal                                           (cyclicmagic:crystal)                                                            = ????????????????? ????????
milk                                              (cyclicmagic:milk)                                                               = ??????
xpjuice                                           (cyclicmagic:xpjuice)                                                            = ?????? ????
molten_blood_infused_iron                         (bloodarsenal:bloodarsenal.molten_blood_infused_iron)                            = ????????????? ???????? ?????? 
oil_soul                                          ([no block])                                                                     = Soul Crude
oil_dwarf                                         ([no block])                                                                     = Dwarven Oil
gas_dwarf                                         ([no block])                                                                     = Dwarven Fuel Gas
dawnstone                                         (embers:dawnstone)                                                               = ????????????? ???????
alchemical_redstone                               (embers:alchemical_redstone)                                                     = ??????????? ??????? ??????
essence                                           (industrialforegoing:essence)                                                    = ????????
meat                                              (industrialforegoing:meat)                                                       = ?????? ????
latex                                             (industrialforegoing:latex)                                                      = ??????
sewage                                            (industrialforegoing:sewage)                                                     = ??????
sludge                                            (industrialforegoing:sludge)                                                     = ?????
biofuel                                           (industrialforegoing:biofuel)                                                    = ??????????
if.pink_slime                                     (industrialforegoing:if.pink_slime)                                              = ??????? ?????
if.protein                                        (industrialforegoing:if.protein)                                                 = ???????
if.ore_fluid_raw                                  ([no block])                                                                     = ????? ?????? ????
if.ore_fluid_fermented                            ([no block])                                                                     = ??????????? ?????? ????
alumite                                           (plustic:plustic.molten_alumite)                                                 = Molten Alumite
osmium                                            (plustic:plustic.molten_osmium)                                                  = Molten Osmium
refinedobsidian                                   (plustic:plustic.molten_refinedobsidian)                                         = Molten Refined Obsidian
refinedglowstone                                  (plustic:plustic.molten_refinedglowstone)                                        = Refined Glowstone
osgloglas                                         (plustic:plustic.molten_osgloglas)                                               = Molten Osgloglas
osmiridium                                        (plustic:plustic.molten_osmiridium)                                              = Molten Osmiridium
terrasteel                                        (plustic:plustic.molten_terrasteel)                                              = Molten Terrasteel
elementium                                        (plustic:plustic.molten_elementium)                                              = Molten Elementium
manasteel                                         (plustic:plustic.molten_manasteel)                                               = Molten Manasteel
mirion                                            (plustic:plustic.molten_mirion)                                                  = Molten Mirion
psimetal                                          (plustic:plustic.molten_psimetal)                                                = Molten Psimetal
thaumium                                          (plustic:plustic.molten_thaumium)                                                = Molten Thaumium
starmetal                                         (plustic:plustic.molten_starmetal)                                               = Molten Starmetal
boiling_wort                                      ([no block])                                                                     = ??????? ????????? ?????
boiling_potato_juice                              ([no block])                                                                     = ??????? ???????????? ???
boiling_wormwood                                  ([no block])                                                                     = ??????? ???-???????
boiling_beetroot_soup                             ([no block])                                                                     = ??????? ?????????? ???
dwarven_ale                                       ([no block])                                                                     = ???
vodka                                             ([no block])                                                                     = ???????????? ?????
inner_fire                                        ([no block])                                                                     = ???????? ???
umber_ale                                         ([no block])                                                                     = ????? ??? [WIP]
methanol                                          ([no block])                                                                     = ?????????????? ???
absinthe                                          ([no block])                                                                     = ??????
snowpoff                                          ([no block])                                                                     = ??????? ?????
antimony                                          ([no block])                                                                     = ????????????? ??????
sugar                                             ([no block])                                                                     = ????????????? ?????
fluidberylium                                     (techreborn:techreborn_techreborn.berylium)                                      = ????????
fluidcalcium                                      (techreborn:techreborn_techreborn.calcium)                                       = ???????
fluidcalciumcarbonate                             (techreborn:techreborn_techreborn.calciumcarbonate)                              = ???????? ???????
fluidchlorite                                     (techreborn:techreborn_techreborn.chlorite)                                      = ??????
fluiddeuterium                                    (techreborn:techreborn_techreborn.deuterium)                                     = ????????
fluidglyceryl                                     (techreborn:techreborn_techreborn.glyceryl)                                      = ?????????????
fluidhelium                                       (techreborn:techreborn_techreborn.helium)                                        = ?????
fluidhelium3                                      (techreborn:techreborn_techreborn.helium3)                                       = ?????-3
fluidheliumplasma                                 (techreborn:techreborn_techreborn.heliumplasma)                                  = ???????? ??????
fluidhydrogen                                     (techreborn:techreborn_techreborn.hydrogen)                                      = ???????
fluidlithium                                      (techreborn:techreborn_techreborn.lithium)                                       = ?????
fluidmercury                                      (techreborn:techreborn_techreborn.mercury)                                       = ?????
fluidmethane                                      (techreborn:techreborn_techreborn.methane)                                       = ?????
fluidnitrocoalfuel                                (techreborn:techreborn_techreborn.nitrocoalfuel)                                 = ????????????? ???????
fluidnitrofuel                                    (techreborn:techreborn_techreborn.nitrofuel)                                     = ????????????
fluidnitrogen                                     (techreborn:techreborn_techreborn.nitrogen)                                      = ????
fluidnitrogendioxide                              (techreborn:techreborn_techreborn.nitrogendioxide)                               = ??????? ?????
fluidpotassium                                    (techreborn:techreborn_techreborn.potassium)                                     = ?????
fluidsilicon                                      (techreborn:techreborn_techreborn.silicon)                                       = ???????
fluidsodium                                       (techreborn:techreborn_techreborn.sodium)                                        = ??????
fluidsodiumpersulfate                             (techreborn:techreborn_techreborn.sodiumpersulfate)                              = ???????????????? ??????
fluidtritium                                      (techreborn:techreborn_techreborn.tritium)                                       = ??????
fluidwolframium                                   (techreborn:techreborn_techreborn.wolframium)                                    = ????????
fluidcarbon                                       (techreborn:techreborn_techreborn.carbon)                                        = ???????
fluidcarbonfiber                                  (techreborn:techreborn_techreborn.carbonfiber)                                   = ?????????? ???????
fluidnitrocarbon                                  (techreborn:techreborn_techreborn.nitrocarbon)                                   = ????????????
fluidsulfur                                       (techreborn:techreborn_techreborn.sulfur)                                        = ????
fluidsodiumsulfide                                (techreborn:techreborn_techreborn.sodiumsulfide)                                 = ??????? ??????
fluiddiesel                                       (techreborn:techreborn_techreborn.diesel)                                        = ??????
fluidnitrodiesel                                  (techreborn:techreborn_techreborn.nitrodiesel)                                   = ???????????
fluidoil                                          (techreborn:techreborn_techreborn.oil)                                           = ?????
fluidsulfuricacid                                 (techreborn:techreborn_techreborn.sulfuricacid)                                  = ?????? ???????
fluidcompressedair                                (techreborn:techreborn_techreborn.compressedair)                                 = ?????? ??????
fluidelectrolyzedwater                            (techreborn:techreborn_techreborn.electrolyzedwater)                             = ????????????????? ????
fluidbiofuel                                      (techreborn:techreborn_techreborn.biofuel)                                       = ??????????
bio.ethanol                                       (forestry:fluid.bio.ethanol)                                                     = ??????
glass                                             (forestry:fluid.glass)                                                           = ?????? ??????
for.honey                                         (forestry:fluid.for.honey)                                                       = ???
ice                                               (forestry:fluid.ice)                                                             = ??????? ???
juice                                             (forestry:fluid.juice)                                                           = ????????? ???
seed.oil                                          (forestry:fluid.seed.oil)                                                        = ???????????? ?????
short.mead                                        (forestry:fluid.short.mead)                                                      = ?????? ???
