#This is a simple dump of all molten liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

electrical_steel                                  (enderio:block_fluid_electrical_steel)                                           = ????????????? ????????????????? ?????
energetic_alloy                                   (enderio:block_fluid_energetic_alloy)                                            = ????????????? ?????????????? ?????
vibrant_alloy                                     (enderio:block_fluid_vibrant_alloy)                                              = ????????????? ??????????? ?????
redstone_alloy                                    (enderio:block_fluid_redstone_alloy)                                             = ????????????? ????? ?? ???????? ?????
conductive_iron                                   (enderio:block_fluid_conductive_iron)                                            = ????????????? ?????????? ??????
pulsating_iron                                    (enderio:block_fluid_pulsating_iron)                                             = ????????????? ???????????? ??????
dark_steel                                        (enderio:block_fluid_dark_steel)                                                 = ????????????? ?????? ?????
soularium                                         (enderio:block_fluid_soularium)                                                  = ????????????? ????????
end_steel                                         (enderio:block_fluid_end_steel)                                                  = ????????????? ????? ????
construction_alloy                                (enderio:block_fluid_construction_alloy)                                         = Molten Iron Alloy
fierymetal                                        (twilightforest:molten_fierymetal)                                               = ????????????? ?????
knightmetal                                       (twilightforest:molten_knightmetal)                                              = ????????????? ??????????? ??????
obsidian                                          (tconstruct:molten_obsidian)                                                     = ????????????? ????????
iron                                              (tconstruct:molten_iron)                                                         = ????????????? ??????
pigiron                                           (tconstruct:molten_pigiron)                                                      = ????????????? ??????????
knightslime                                       (tconstruct:molten_knightslime)                                                  = ????????????? ??????????
cobalt                                            (tconstruct:molten_cobalt)                                                       = ????????????? ???????
ardite                                            (tconstruct:molten_ardite)                                                       = ????????????? ?????
manyullyn                                         (tconstruct:molten_manyullyn)                                                    = ????????????? ????????
copper                                            (tconstruct:molten_copper)                                                       = ?????? ????
bronze                                            (tconstruct:molten_bronze)                                                       = ?????? ??????
lead                                              (tconstruct:molten_lead)                                                         = ?????? ??????
silver                                            (tconstruct:molten_silver)                                                       = ?????? ???????
electrum                                          (tconstruct:molten_electrum)                                                     = ?????? ????????
steel                                             (tconstruct:molten_steel)                                                        = ????????????? ?????
moltenabyssalnite                                 (acintegration:moltenabyssalnite)                                                = ????????????? ???????????
moltenrefinedcoralium                             (acintegration:moltencoralium)                                                   = ????????????? ???????????? ???????
moltendreadium                                    (acintegration:moltendreadium)                                                   = ????????????? ?????????
molten_blood_infused_iron                         (bloodarsenal:bloodarsenal.molten_blood_infused_iron)                            = ????????????? ???????? ?????? 
alumite                                           (plustic:plustic.molten_alumite)                                                 = Molten Alumite
nickel                                            (tconstruct:molten_nickel)                                                       = ?????? ??????
invar                                             (tconstruct:molten_invar)                                                        = ????????????? ?????
iridium                                           (tconstruct:molten_iridium)                                                      = ????????????? ??????
osmium                                            (plustic:plustic.molten_osmium)                                                  = Molten Osmium
refinedobsidian                                   (plustic:plustic.molten_refinedobsidian)                                         = Molten Refined Obsidian
refinedglowstone                                  (plustic:plustic.molten_refinedglowstone)                                        = Refined Glowstone
osgloglas                                         (plustic:plustic.molten_osgloglas)                                               = Molten Osgloglas
